letter;count
A;108
B;133
C;103
D;38
E;37
F;44
G;82
H;52
I;97
J;28
K;45
L;90
M;142
N;43
O;27
P;167
Q;1
R;58
S;124
T;61
U;18
V;17
W;40
X;0
Y;7
Z;27
